Title,Product_link,Sub_brand,Sale_price,MRP
Samba OG Shoes,https://www.adidas.co.in/samba-og-shoes/B75806.html,Originals,₹10 999.00,₹10 999.00
Samba OG Shoes,https://www.adidas.co.in/samba-og-shoes/B75807.html,Originals,₹10 999.00,₹10 999.00
Galaxy 7 Running Shoes,https://www.adidas.co.in/galaxy-7-running-shoes/ID8757.html,Men Performance,₹4 409.50,₹6 299.00
PURECHILL SLIDES,https://www.adidas.co.in/purechill-slides/KI0066.html,Men Sportswear,₹6 599.00,₹6 599.00
Adizero EVO SL Shoes,https://www.adidas.co.in/adizero-evo-sl-shoes/JH6206.html,Men Performance,₹15 999.00,₹15 999.00
ADIDAS X COCA-COLA SAMBA OG SHOES,https://www.adidas.co.in/adidas-x-coca-cola-samba-og-shoes/KH6879.html,Men Originals,₹10 999.00,₹10 999.00
ADISTAR CONTROL 5 SHOES,https://www.adidas.co.in/adistar-control-5-shoes/KI6120.html,Originals,₹12 999.00,₹12 999.00
SAMBA 62 SUPER MERCEDES AMG PETRONAS F1 TEAM SHOES,https://www.adidas.co.in/samba-62-super-mercedes-amg-petronas-f1-team-shoes/KJ3265.html,Originals,₹11 999.00,₹11 999.00
PURECHILL SLIDES,https://www.adidas.co.in/purechill-slides/KH6414.html,Men Sportswear,₹4 999.00,₹4 999.00
Handball Spezial Shoes,https://www.adidas.co.in/handball-spezial-shoes/DB3021.html,Men Originals,₹7 699.50,₹10 999.00
PURECHILL SLIDES,https://www.adidas.co.in/purechill-slides/KH6420.html,Men Sportswear,₹4 999.00,₹4 999.00
HYPERBOOST EUPHORIA LT SHOES,https://www.adidas.co.in/hyperboost-euphoria-lt-shoes/LA5997.html,Originals,₹15 999.00,₹15 999.00
PURECHILL SLIDES,https://www.adidas.co.in/purechill-slides/KI0075.html,Men Sportswear,₹6 599.00,₹6 599.00
F50 FORMOTION SP5DER Shoes,https://www.adidas.co.in/f50-formotion-sp5der-shoes/KZ6575.html,Originals,₹18 999.00,₹18 999.00
HYPERBOOST EUPHORIA LT SHOES,https://www.adidas.co.in/hyperboost-euphoria-lt-shoes/KZ8509.html,Originals,₹15 999.00,₹15 999.00
PURECHILL SLIDES,https://www.adidas.co.in/purechill-slides/KH6422.html,Men Sportswear,₹6 599.00,₹6 599.00
HYPERBOOST EUPHORIA LT SHOES,https://www.adidas.co.in/hyperboost-euphoria-lt-shoes/KZ8506.html,Originals,₹15 999.00,₹15 999.00
Grand Court Base 3.0 IKD Shoes,https://www.adidas.co.in/grand-court-base-3.0-ikd-shoes/LA1521.html,Men Sportswear,₹6 299.00,₹6 299.00
Rapidmove ADV 2 Training Shoes,https://www.adidas.co.in/rapidmove-adv-2-training-shoes/KK3837.html,Men Performance,₹12 999.00,₹12 999.00
ADIDAS X COCA-COLA ADISTAR CONTROL 5 SHOES,https://www.adidas.co.in/adidas-x-coca-cola-adistar-control-5-shoes/KH6895.html,Originals,₹13 999.00,₹13 999.00
Dropset Base Training Shoes,https://www.adidas.co.in/dropset-base-training-shoes/KJ9170.html,Men Performance,₹6 599.00,₹6 599.00
PURECHILL SLIDES,https://www.adidas.co.in/purechill-slides/KH6701.html,Men Sportswear,₹4 999.00,₹4 999.00
Dropset Base Training Shoes,https://www.adidas.co.in/dropset-base-training-shoes/JS3162.html,Men Performance,₹6 599.00,₹6 599.00
Dropset 4 Training Shoes,https://www.adidas.co.in/dropset-4-training-shoes/KJ6612.html,Men Performance,₹13 999.00,₹13 999.00
HYPERBOOST EUPHORIA LT SHOES,https://www.adidas.co.in/hyperboost-euphoria-lt-shoes/KZ8507.html,Originals,₹15 999.00,₹15 999.00
HYPERBOOST EUPHORIA LT SHOES,https://www.adidas.co.in/hyperboost-euphoria-lt-shoes/KZ8511.html,Originals,₹15 999.00,₹15 999.00
ADIZERO EVO SL EXO Shoes,https://www.adidas.co.in/adizero-evo-sl-exo-shoes/KI4763.html,Men Performance,₹15 999.00,₹15 999.00
ADIDAS X COCA-COLA SAMBA OG SHOES,https://www.adidas.co.in/adidas-x-coca-cola-samba-og-shoes/KH6880.html,Men Originals,₹10 999.00,₹10 999.00
Adizero EVO SL Shoes,https://www.adidas.co.in/adizero-evo-sl-shoes/JP7149.html,Men Performance,₹15 999.00,₹15 999.00
ADIDAS X COCA-COLA SAMBA OG SHOES,https://www.adidas.co.in/adidas-x-coca-cola-samba-og-shoes/KH6893.html,Men Originals,₹12 999.00,₹12 999.00
ADIDAS X COCA-COLA PREDATOR SALA SHOES,https://www.adidas.co.in/adidas-x-coca-cola-predator-sala-shoes/KH6906.html,Originals,₹11 999.00,₹11 999.00
F50 Messi Club Firm Ground / Multi Ground Football Boots,https://www.adidas.co.in/f50-messi-club-firm-ground-multi-ground-football-boots/IH1913.html,Performance,₹6 599.00,₹6 599.00
NU23 Cricket Shoes,https://www.adidas.co.in/nu23-cricket-shoes/JK0171.html,Performance,₹2 499.50,₹4 999.00
Dropset 4 Training Shoes,https://www.adidas.co.in/dropset-4-training-shoes/JR4673.html,Men Performance,₹9 799.50,₹13 999.00
CLINCH-X SHOES,https://www.adidas.co.in/clinch-x-shoes/EW2462.html,Men Performance,₹1 899.50,₹3 799.00
Comfort Walk Shoes,https://www.adidas.co.in/comfort-walk-shoes/IU6505.html,Men Sportswear,₹2 499.50,₹4 999.00
Runfalcon 5 Running Shoes,https://www.adidas.co.in/runfalcon-5-running-shoes/JQ6977.html,Men Performance,₹4 619.50,₹6 599.00
SnugPro Running Shoes,https://www.adidas.co.in/snugpro-running-shoes/JJ5832.html,Men Performance,₹1 999.50,₹3 999.00
CLEAR FACTOR SHOES,https://www.adidas.co.in/clear-factor-shoes/EX2040.html,Men Performance,₹1 899.50,₹3 799.00
Adizero EVO SL Shoes,https://www.adidas.co.in/adizero-evo-sl-shoes/KI6919.html,Men Performance,₹15 999.00,₹15 999.00
BASENEW SHOES,https://www.adidas.co.in/basenew-shoes/IU6402.html,Men Performance,₹2 579.50,₹4 299.00
Advantage Base 2.0 Shoes,https://www.adidas.co.in/advantage-base-2.0-shoes/IG9184.html,Men Sportswear,₹3 299.50,₹6 599.00
JAUNTZA SHOES,https://www.adidas.co.in/jauntza-shoes/IU7900.html,Men Sportswear,₹1 799.50,₹3 599.00
FLEECEWALK SHOES,https://www.adidas.co.in/fleecewalk-shoes/IQ8955.html,Men Sportswear,₹1 999.50,₹3 999.00
ADILETTE SLIDES,https://www.adidas.co.in/adilette-slides/280647.html,Men Originals,₹3 999.00,₹3 999.00
CLOUDFOAM FLEX LOUNGE RAPIDFIT SHOES,https://www.adidas.co.in/cloudfoam-flex-lounge-rapidfit-shoes/HQ2569.html,Men Sportswear,₹6 599.00,₹6 599.00
Handball Spezial Shoes,https://www.adidas.co.in/handball-spezial-shoes/JR2121.html,Men Originals,₹10 999.00,₹10 999.00
Galaxy 7 Running Shoes,https://www.adidas.co.in/galaxy-7-running-shoes/ID8760.html,Men Performance,₹4 409.50,₹6 299.00
ExcelCourt Eaze Sneaker,https://www.adidas.co.in/excelcourt-eaze-sneaker/JJ5870.html,Men Sportswear,₹1 999.50,₹3 999.00
CLOUDFOAM FLEX LOUNGE RAPIDFIT SHOES,https://www.adidas.co.in/cloudfoam-flex-lounge-rapidfit-shoes/HQ2568.html,Men Sportswear,₹6 599.00,₹6 599.00
POMAZOR SHOES,https://www.adidas.co.in/pomazor-shoes/IQ9813.html,Men Sportswear,₹2 159.50,₹3 599.00
Symphony Shoes,https://www.adidas.co.in/symphony-shoes/JJ5309.html,Men Sportswear,₹2 499.50,₹4 999.00
SEIZE THE STREET SHOES,https://www.adidas.co.in/seize-the-street-shoes/GA1135.html,Men Performance,₹2 399.50,₹4 799.00
Adizero EVO SL Shoes,https://www.adidas.co.in/adizero-evo-sl-shoes/KI6901.html,Men Performance,₹15 999.00,₹15 999.00
Zapcore Running Shoes,https://www.adidas.co.in/zapcore-running-shoes/JJ5396.html,Men Performance,₹2 399.50,₹4 799.00
RESTOUND SHOES,https://www.adidas.co.in/restound-shoes/IQ9119.html,Men Performance,₹1 999.50,₹3 999.00
POMAZOR SHOES,https://www.adidas.co.in/pomazor-shoes/IQ9812.html,Men Sportswear,₹1 799.50,₹3 599.00
CORE LINEAR IND COMFORT FLIP FLOP,https://www.adidas.co.in/core-linear-ind-comfort-flip-flop/EY3136.html,Men Sportswear,₹999.50,₹1 999.00
CLOUD TEC SHOES,https://www.adidas.co.in/cloud-tec-shoes/IU6261.html,Men Performance,₹2 499.50,₹4 999.00
CLOUD TEC SHOES,https://www.adidas.co.in/cloud-tec-shoes/IU6260.html,Men Performance,₹2 499.50,₹4 999.00
ZAPID SHOES,https://www.adidas.co.in/zapid-shoes/IU6376.html,Men Performance,₹2 499.50,₹4 999.00
HURTLE FLIP-FLOPS,https://www.adidas.co.in/hurtle-flip-flops/GA0990.html,Men Sportswear,₹779.50,₹1 299.00
CLEAR FACTOR SHOES,https://www.adidas.co.in/clear-factor-shoes/EX2038.html,Men Performance,₹1 899.50,₹3 799.00
Runfalcon 5 Running Shoes,https://www.adidas.co.in/runfalcon-5-running-shoes/IH7758.html,Men Performance,₹4 619.50,₹6 599.00
HURTLE FLIP-FLOPS,https://www.adidas.co.in/hurtle-flip-flops/GA0994.html,Men Sportswear,₹649.50,₹1 299.00
SEIZE THE STREET SHOES,https://www.adidas.co.in/seize-the-street-shoes/GA1136.html,Men Performance,₹2 399.50,₹4 799.00
MISTICO FLIP-FLOPS,https://www.adidas.co.in/mistico--flip-flops/GA1050.html,Men Sportswear,₹779.50,₹1 299.00
Handball Spezial Shoes,https://www.adidas.co.in/handball-spezial-shoes/IF7087.html,Men Originals,₹10 999.00,₹10 999.00
COPA PURE IV CLUB Firm Ground/Multi Ground Football Boots,https://www.adidas.co.in/copa-pure-iv-club-firm-ground-multi-ground-football-boots/JR6183.html,Performance,₹5 999.00,₹5 999.00
BASENEW SHOES,https://www.adidas.co.in/basenew-shoes/IU6404.html,Men Performance,₹2 149.50,₹4 299.00
Heather Low Shoes,https://www.adidas.co.in/heather-low-shoes/JJ5305.html,Sportswear,₹2 399.50,₹4 799.00
ADI RUDH SHOES,https://www.adidas.co.in/adi-rudh-shoes/EY2980.html,Men Performance,₹2 299.50,₹4 599.00
CLOUDFOAM CUXXION RAPIDFIT SHOES,https://www.adidas.co.in/cloudfoam-cuxxion-rapidfit-shoes/HP3428.html,Men Sportswear,₹7 999.00,₹7 999.00
SAMBA OG SHOES,https://www.adidas.co.in/samba-og-shoes/IH6843.html,Men Originals,₹8 399.50,₹11 999.00
Samba OG Shoes,https://www.adidas.co.in/samba-og-shoes/IE3438.html,Men Originals,₹10 999.00,₹10 999.00
JOLT RUNNER SHOES,https://www.adidas.co.in/jolt-runner-shoes/IU6319.html,Men Performance,₹2 499.50,₹4 999.00
JAUNTZA SHOES,https://www.adidas.co.in/jauntza-shoes/IQ9796.html,Men Sportswear,₹2 159.50,₹3 599.00
Italia 70s Shoes,https://www.adidas.co.in/italia-70s-shoes/JS1324.html,Men Originals,₹8 999.00,₹8 999.00
VAC-RUN SHOES,https://www.adidas.co.in/vac-run-shoes/IU6698.html,Men Performance,₹2 499.50,₹4 999.00
CORE LINEAR STUNICON SHOES,https://www.adidas.co.in/core-linear-stunicon-shoes/EY2981.html,Men Performance,₹2 499.50,₹4 999.00
Handball Spezial Shoes,https://www.adidas.co.in/handball-spezial-shoes/BD7632.html,Men Originals,₹7 699.50,₹10 999.00
SL 72 RS Shoes,https://www.adidas.co.in/sl-72-rs-shoes/JI1282.html,Men Originals,₹5 999.50,₹9 999.00
RAYRUN SHOES,https://www.adidas.co.in/rayrun-shoes/IQ9110.html,Men Performance,₹2 879.50,₹4 799.00
COURT RAGE SHOES,https://www.adidas.co.in/court-rage-shoes/GA0943.html,Men Sportswear,₹2 499.50,₹4 999.00
EXPEREO SHOES,https://www.adidas.co.in/expereo-shoes/IU6276.html,Men Performance,₹2 799.50,₹5 599.00
JAPAN SHOES,https://www.adidas.co.in/japan-shoes/KK3439.html,Originals,₹12 999.00,₹12 999.00
Ultraboost 5 Shoes,https://www.adidas.co.in/ultraboost-5-shoes/ID8812.html,Men Performance,₹17 999.00,₹17 999.00
ULTRA RESPONSE SHOES,https://www.adidas.co.in/ultra-response-shoes/IQ9174.html,Men Performance,₹2 579.50,₹4 299.00
STEP N PACE SHOES,https://www.adidas.co.in/step-n-pace-shoes/IQ9157.html,Men Performance,₹3 179.50,₹5 299.00
SL 72 RS Shoes,https://www.adidas.co.in/sl-72-rs-shoes/JS0746.html,Men Originals,₹4 999.50,₹9 999.00
AMALGO SHOES,https://www.adidas.co.in/amalgo-shoes/IU6241.html,Men Performance,₹2 649.50,₹5 299.00
JAYSAW REFLECTIVE SHOES,https://www.adidas.co.in/jaysaw-reflective-shoes/GA1131.html,Men Performance,₹2 299.50,₹4 599.00
ULTRA RESPONSE SHOES,https://www.adidas.co.in/ultra-response-shoes/IQ9176.html,Men Performance,₹2 579.50,₹4 299.00
adidas Stridx Shoes,https://www.adidas.co.in/adidas-stridx-shoes/JJ5639.html,Men Performance,₹2 399.50,₹4 799.00
JAPAN SHOES,https://www.adidas.co.in/japan-shoes/KK3438.html,Originals,₹12 999.00,₹12 999.00
Samba OG Shoes,https://www.adidas.co.in/samba-og-shoes/JR0881.html,Men Originals,₹10 999.00,₹10 999.00
LAUFEN SPEED SHOES,https://www.adidas.co.in/laufen-speed-shoes/IU6324.html,Men Performance,₹2 649.50,₹5 299.00
Adilette Lite Slides,https://www.adidas.co.in/adilette-lite-slides/FU7592.html,Originals,₹2 099.50,₹2 999.00
JOLT RUNNER SHOES,https://www.adidas.co.in/jolt-runner-shoes/IU6320.html,Men Performance,₹2 499.50,₹4 999.00
Handball Spezial Shoes,https://www.adidas.co.in/handball-spezial-shoes/JR3668.html,Men Originals,₹10 999.00,₹10 999.00
SUPERNOVA RISE 3 MERCEDES AMG PETRONAS F1 TEAM Shoes,https://www.adidas.co.in/supernova-rise-3-mercedes-amg-petronas-f1-team-shoes/KJ3671.html,Men Performance,₹11 199.50,₹15 999.00
Runfalcon 5 Running Shoes,https://www.adidas.co.in/runfalcon-5-running-shoes/IE8812.html,Men Performance,₹6 599.00,₹6 599.00
ZAPID SHOES,https://www.adidas.co.in/zapid-shoes/IU6378.html,Men Performance,₹2 999.50,₹4 999.00
BASENEW SHOES,https://www.adidas.co.in/basenew-shoes/IU6403.html,Men Performance,₹2 149.50,₹4 299.00
Samba OG Shoes,https://www.adidas.co.in/samba-og-shoes/JR0890.html,Men Originals,₹11 999.00,₹11 999.00
CYBERRUN SHOES,https://www.adidas.co.in/cyberrun-shoes/IQ8896.html,Men Performance,₹2 999.50,₹4 999.00
Ultraboost 20 Shoes,https://www.adidas.co.in/ultraboost-20-shoes/EF1043.html,Men Performance,₹9 499.50,₹18 999.00
