Title,Product_link,Sub_brand,Sale_price,MRP,Discount_Amount,Discount_pct
Samba OG Shoes,https://www.adidas.co.in/samba-og-shoes/B75806.html,Originals,10999.0,10999.0,0.0,0.0
Samba OG Shoes,https://www.adidas.co.in/samba-og-shoes/B75807.html,Originals,10999.0,10999.0,0.0,0.0
Galaxy 7 Running Shoes,https://www.adidas.co.in/galaxy-7-running-shoes/ID8757.html,Men Performance,4409.5,6299.0,1889.5,30.0
PURECHILL SLIDES,https://www.adidas.co.in/purechill-slides/KI0066.html,Men Sportswear,6599.0,6599.0,0.0,0.0
Adizero EVO SL Shoes,https://www.adidas.co.in/adizero-evo-sl-shoes/JH6206.html,Men Performance,15999.0,15999.0,0.0,0.0
ADIDAS X COCA-COLA SAMBA OG SHOES,https://www.adidas.co.in/adidas-x-coca-cola-samba-og-shoes/KH6879.html,Men Originals,10999.0,10999.0,0.0,0.0
ADISTAR CONTROL 5 SHOES,https://www.adidas.co.in/adistar-control-5-shoes/KI6120.html,Originals,12999.0,12999.0,0.0,0.0
SAMBA 62 SUPER MERCEDES AMG PETRONAS F1 TEAM SHOES,https://www.adidas.co.in/samba-62-super-mercedes-amg-petronas-f1-team-shoes/KJ3265.html,Originals,11999.0,11999.0,0.0,0.0
PURECHILL SLIDES,https://www.adidas.co.in/purechill-slides/KH6414.html,Men Sportswear,4999.0,4999.0,0.0,0.0
Handball Spezial Shoes,https://www.adidas.co.in/handball-spezial-shoes/DB3021.html,Men Originals,7699.5,10999.0,3299.5,30.0
PURECHILL SLIDES,https://www.adidas.co.in/purechill-slides/KH6420.html,Men Sportswear,4999.0,4999.0,0.0,0.0
HYPERBOOST EUPHORIA LT SHOES,https://www.adidas.co.in/hyperboost-euphoria-lt-shoes/LA5997.html,Originals,15999.0,15999.0,0.0,0.0
PURECHILL SLIDES,https://www.adidas.co.in/purechill-slides/KI0075.html,Men Sportswear,6599.0,6599.0,0.0,0.0
F50 FORMOTION SP5DER Shoes,https://www.adidas.co.in/f50-formotion-sp5der-shoes/KZ6575.html,Originals,18999.0,18999.0,0.0,0.0
HYPERBOOST EUPHORIA LT SHOES,https://www.adidas.co.in/hyperboost-euphoria-lt-shoes/KZ8509.html,Originals,15999.0,15999.0,0.0,0.0
PURECHILL SLIDES,https://www.adidas.co.in/purechill-slides/KH6422.html,Men Sportswear,6599.0,6599.0,0.0,0.0
HYPERBOOST EUPHORIA LT SHOES,https://www.adidas.co.in/hyperboost-euphoria-lt-shoes/KZ8506.html,Originals,15999.0,15999.0,0.0,0.0
Grand Court Base 3.0 IKD Shoes,https://www.adidas.co.in/grand-court-base-3.0-ikd-shoes/LA1521.html,Men Sportswear,6299.0,6299.0,0.0,0.0
Rapidmove ADV 2 Training Shoes,https://www.adidas.co.in/rapidmove-adv-2-training-shoes/KK3837.html,Men Performance,12999.0,12999.0,0.0,0.0
ADIDAS X COCA-COLA ADISTAR CONTROL 5 SHOES,https://www.adidas.co.in/adidas-x-coca-cola-adistar-control-5-shoes/KH6895.html,Originals,13999.0,13999.0,0.0,0.0
Dropset Base Training Shoes,https://www.adidas.co.in/dropset-base-training-shoes/KJ9170.html,Men Performance,6599.0,6599.0,0.0,0.0
PURECHILL SLIDES,https://www.adidas.co.in/purechill-slides/KH6701.html,Men Sportswear,4999.0,4999.0,0.0,0.0
Dropset Base Training Shoes,https://www.adidas.co.in/dropset-base-training-shoes/JS3162.html,Men Performance,6599.0,6599.0,0.0,0.0
Dropset 4 Training Shoes,https://www.adidas.co.in/dropset-4-training-shoes/KJ6612.html,Men Performance,13999.0,13999.0,0.0,0.0
HYPERBOOST EUPHORIA LT SHOES,https://www.adidas.co.in/hyperboost-euphoria-lt-shoes/KZ8507.html,Originals,15999.0,15999.0,0.0,0.0
HYPERBOOST EUPHORIA LT SHOES,https://www.adidas.co.in/hyperboost-euphoria-lt-shoes/KZ8511.html,Originals,15999.0,15999.0,0.0,0.0
ADIZERO EVO SL EXO Shoes,https://www.adidas.co.in/adizero-evo-sl-exo-shoes/KI4763.html,Men Performance,15999.0,15999.0,0.0,0.0
ADIDAS X COCA-COLA SAMBA OG SHOES,https://www.adidas.co.in/adidas-x-coca-cola-samba-og-shoes/KH6880.html,Men Originals,10999.0,10999.0,0.0,0.0
Adizero EVO SL Shoes,https://www.adidas.co.in/adizero-evo-sl-shoes/JP7149.html,Men Performance,15999.0,15999.0,0.0,0.0
ADIDAS X COCA-COLA SAMBA OG SHOES,https://www.adidas.co.in/adidas-x-coca-cola-samba-og-shoes/KH6893.html,Men Originals,12999.0,12999.0,0.0,0.0
ADIDAS X COCA-COLA PREDATOR SALA SHOES,https://www.adidas.co.in/adidas-x-coca-cola-predator-sala-shoes/KH6906.html,Originals,11999.0,11999.0,0.0,0.0
F50 Messi Club Firm Ground / Multi Ground Football Boots,https://www.adidas.co.in/f50-messi-club-firm-ground-multi-ground-football-boots/IH1913.html,Performance,6599.0,6599.0,0.0,0.0
NU23 Cricket Shoes,https://www.adidas.co.in/nu23-cricket-shoes/JK0171.html,Performance,2499.5,4999.0,2499.5,50.0
Dropset 4 Training Shoes,https://www.adidas.co.in/dropset-4-training-shoes/JR4673.html,Men Performance,9799.5,13999.0,4199.5,30.0
CLINCH-X SHOES,https://www.adidas.co.in/clinch-x-shoes/EW2462.html,Men Performance,1899.5,3799.0,1899.5,50.0
Comfort Walk Shoes,https://www.adidas.co.in/comfort-walk-shoes/IU6505.html,Men Sportswear,2499.5,4999.0,2499.5,50.0
Runfalcon 5 Running Shoes,https://www.adidas.co.in/runfalcon-5-running-shoes/JQ6977.html,Men Performance,4619.5,6599.0,1979.5,30.0
SnugPro Running Shoes,https://www.adidas.co.in/snugpro-running-shoes/JJ5832.html,Men Performance,1999.5,3999.0,1999.5,50.0
